course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
CRJU 540,Substantive Criminal Law,3,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 550,Constitutional Criminal Procedure,3,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 555,"Law, Justice, and Social Control",3,,,Open to Criminology & Criminal Justice master&rsquo;s students only who have taken CRJU 504 and CRJU 520 or graduate advisor permission,
CRJU 601,Victimology,3,,,A grade of “B” or better in CRJU 504 or consent of instructor,
CRJU 604,"Terrorism, Homeland Security, and Criminal Justice",3,,,Open to Criminology & Criminal Justice master’s students and EMER majors only or graduate advisor permission,
CRJU 606,Delinquency and the Juvenile Justice System,3,,,A grade of “B” or better in CRJU 501 and CRJU 504 or consent of instructor,
CRJU 608,Serial Killers and Psychopaths: The Psychology of the Criminal Mind,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 609,Drugs and the Drug War,3,,,A grade of “B” or better in CRJU 501 and CRJU 504 or consent of instructor,
CRJU 621,Administration and Management of Criminal Justice Organizations,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 623,Correctional Environments,3,,,"Open to Criminology & Criminal Justice master’s students only who have taken CRJU 501 , CRJU 504 , CRJU 520 , or graduate advisor permission, and consent of instructor",
CRJU 625,Collateral Consequences of Incarceration,3,,,A grade of “B” or better in CRJU 501 and CRJU 504 ;or consent of instructor,
CRJU 626,Social Justice in Action,3,,,A grade of “B” or better in CRJU 501 and CRJU 504 ;or consent of instructor,
CRJU 640,Criminalistics: Forensic Science in the Crime Laboratory,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 641,Investigating High-Tech Crimes,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 642,Forensic Psychology and the Criminal Justice System,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 643,Forensic Pathology and the Medical-Legal Investigation of Death,3,,,Open to Criminology & Criminal Justice master’s students only or graduate advisor permission,
CRJU 660,Introduction to Crime Analysis,3,,,Open to Criminology & Criminal Justice master&rsquo;s students only or graduate advisor permission,
CRJU 661,Crime Analysis Technique 1: Social Network Analysis,3,,,CRJU 660,
CRJU 662,Crime Analysis Technique 2: Crime Mapping,3,,,CRJU 660,
CRJU 663,Crime Analysis Technique 3: Intelligence Analysis,3,,,CRJU 660,
CRJU 690,Selected Topics in Criminal Justice,3,,,A grade of “B” or better in CRJU 504 or consent of instructor,
CRJU 691,Instructional Strategies for Criminal Justice Professionals,3,,,Open to Criminology and Criminal Justice master’s students only who have advanced to candidacy and graduate advisor permission,Consent of instructor
CRJU 694,Thesis I,3,,,Open to Criminology and Criminal Justice master’s students only who have advanced to candidacy and graduate advisor permission,
CRJU 695,Directed Readings/Independent Study,,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 697,Directed Research,3,,,Open to Criminology & Criminal Justice master’s students only and graduate advisor permission,
CRJU 698,Thesis II,3,,,A grade of “B” or better in CRJU 694,
