term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),11,1076,Spring_2026|BIOL 200|11|1076,FALSE,\N,"12,27",LAB,Th,2-4:45PM,,MLSC-109,Jones W,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),12,5684,Spring_2026|BIOL 200|12|5684,FALSE,\N,"12,27",LAB,Th,2-4:45PM,available,MLSC-113,Cunningham L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),13,6155,Spring_2026|BIOL 200|13|6155,FALSE,\N,"12,27",LAB,F,9-11:45AM,,MLSC-109,Jones W,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),14,6308,Spring_2026|BIOL 200|14|6308,FALSE,\N,"12,27",LAB,F,9-11:45AM,,MLSC-113,Pickard L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),15,9651,Spring_2026|BIOL 200|15|9651,FALSE,\N,"12,27",LAB,M,2-4:45PM,,MLSC-109,Cunningham L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200,BIOL 200,GENERAL BIOLOGY,4,GE: 5B-WL (B2/B3),16,9652,Spring_2026|BIOL 200|16|9652,FALSE,\N,"12,27",LAB,M,2-4:45PM,,MLSC-113,Jones W,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,200L,BIOL 200L,GENERAL BIOLOGY LAB,1,GE: 5C/5B (B3/B2),01,1077,Spring_2026|BIOL 200L|01|1077,FALSE,\N,"1,12,27,152",LAB,Tu,9:30-12:15PM,available,MLSC-113,Stern T,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),01,5752,Spring_2026|BIOL 201|01|5752,FALSE,\N,"1,6,27",LEC,TuTh,8-8:50AM,available,LA2-120,Zhang M,"Class instruction is: Face to Face - On Campus.Seats are reserved for majors that require this course. Reserved seating expires December 1, 2025.Optional Supplemental Instruction course available: SI 60,SECTION #1 , CLASS #2895(TuTh 9:30-10:45)"
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),02,5753,Spring_2026|BIOL 201|02|5753,FALSE,\N,"12,27",LAB,TuTh,9-11:45AM,available,MIC-102B,Zhang M,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),03,7103,Spring_2026|BIOL 201|03|7103,FALSE,\N,"12,27",LAB,TuTh,2-4:45PM,available,MIC-102B,Doust T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),05,12438,Spring_2026|BIOL 201|05|12438,FALSE,\N,310,LAB,MW,2-4:45PM,available,MIC-102B,Doust T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,201,BIOL 201,GEN MICRO/HEALTH PROFESSIONALS,4,GE: 5B-WL (B2/B3),06,12542,Spring_2026|BIOL 201|06|12542,FALSE,\N,310,LAB,TuTh,5-7:45PM,,MIC-102B,Garcia J,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,205,BIOL 205,HUMAN BIOLOGY,4,GE: 5B-WL (B2/B3),01A,2818,Spring_2026|BIOL 205|01A|2818,FALSE,\N,"1,6,27",LEC,TuTh,2-3:15PM,available,HSCI-102,Pina K,"Class instruction is: Face to Face - On Campus.Seats are reserved for majors that require this course. Reserved seating expires December 1, 2025.Optional Supplemental Instruction course available: SI 60, SECTION #02, CLASS #2896, TuTh 3:30-4:45PM"
