term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,LING,329,LING 329,INTRO TO LANGUAGE ACQUISITION,3,GE: 4UD (UDD),01,10852,Summer_2026|LING 329|01|10852,FALSE,\N,306,LEC,MTuWTh,9-1:05PM,available,ONLINE-ONLY,Hatami S,Class instruction is: Synch. Online - Meet Times.
Summer_2026,LING,375,LING 375,SPANISH IN THE US,3,GE: 4UD (UDD); GWAR: WI,01,10403,Summer_2026|LING 375|01|10403,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Sandoval Sanchez S,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,LING,363,LING 363,IMPLICATIONS OF HUMAN LANGUAGE,3,GE: 4UD (UDD); GWAR: WI,01,10835,Summer_2026|LING 363|01|10835,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Sharifi A,Class instruction is: Asynch. Online-No Meet Times.
