term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,EDSE,436,EDSE 436,CURRIC INSTR ASSESS AFFRMG ENV,3,,01,10262,Summer_2026|EDSE 436|01|10262,FALSE,\N,310,LEC,TuTh,5-8:45PM,available,ED2-158,Staff,Class instruction is: Face to Face - On Campus.
Summer_2026,EDSE,457,EDSE 457,READING WRITING IN SEC SCHOOL,3,,01,10263,Summer_2026|EDSE 457|01|10263,FALSE,\N,"1,10,27,224,310",LEC,MW,5-9:10PM,available,EED-040,Staff,Class instruction is: Face to Face - On Campus.
