term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Summer_2026,GEOG,100,GEOG 100,WORLD REGIONAL GEOGRAPHY,3,GE: 4C (D3),01,10454,Summer_2026|GEOG 100|01|10454,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Bairam E,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GEOG,316,GEOG 316,EUROPE,3,GE: 4UD (UDD); GWAR: WI,01,10194,Summer_2026|GEOG 316|01|10194,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Bairam E,Class instruction is: Asynch. Online-No Meet Times.
Summer_2026,GEOG,321,GEOG 321,GEOGRAPHY OF LATIN AMERICA,3,GE: 4UD (UDD); GWAR: WI,01,10072,Summer_2026|GEOG 321|01|10072,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,House Peters L,Class instruction is: Asynch. Online-No Meet Times.
