course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
NRSG 454,Professional Nursing Practice Preceptorship,6,,,"NRSG 351 , NRSG 361 , and NRSG 456 , or consent of instructor; RN-BSN program student pre-requisites: NRSG 305, NRSG 309, NRSG 312, or consent of instructor","NRSG 402 and NRSG 458 , or consent of instructor"
NRSG 456,Health Care Delivery Systems and Nursing Leadership,3,,,"NRSG 331 , NRSG 341 , and NRSG 450 , or consent of instructor","NRSG 351 and NRSG 361 , or consent of instructor"
NRSG 458,NCLEX-RN Preparatory Course,1,,,"NRSG 351 , NRSG 361 , and NRSG 456 Corequisites: NRSG 402 or NRSG 454 , or consent of instructor","NRSG 402 or NRSG 454 , or consent of instructor"
NRSG 530A,Health Assessment for Advanced Practice Nursing Clinical Seminar,1,,,"Admission to the graduate nursing program and a grade of “C” or better in basic physical assessment course, or consent of instructor",NRSG 530
NRSG 535,Advanced Pediatric Physical Assessment and Health Promotion,2,,,Admission to the Pediatric Primary Care nurse practitioner program or school nurse credential program or consent of the instructor,NRSG 535L
NRSG 535L,Advanced Pediatric Physical Assessment Laboratory,1,,,Admission to the Pediatric Primary Care nurse practitioner program or school nurse credential program or consent of the instructor,NRSG 535
NRSG 610,Women’s Health Theories for Advanced Practice Nursing I,4,,,"A grade of “C” or better in NRSG 510 , NRSG 520 , NRSG 530 , NRSG 530A , NRSG 540 , NRSG 550 , NRSG 560 , and NRSG 596","NRSG 610A and NRSG 610B Epidemiology, etiology, differential diagnoses, management, and prevention of common health problems of women with a focus on the role of the nurse practitioner in health promotion, health protection, disease prevention in ambulatory health care settings"
NRSG 610A,Women’s Health Clinical Studies for Advanced Practice Nursing I,4,,,"A grade of “C” or better in NRSG 510 , NRSG 520 , NRSG 530 , NRSG 530A , NRSG 540 , NRSG 550 , NRSG 560 , and NRSG 596",NRSG 610 and NRSG 610B
NRSG 610B,Women’s Health Clinical Studies for Advanced Practice Nursing II,4,,,"A grade of “C” or better in NRSG 510 , NRSG 520 , NRSG 530 , NRSG 530A , NRSG 540 , NRSG 550 , NRSG 560 , and NRSG 596",NRSG 610 and NRSG 610A
NRSG 611,Women’s Health Theories for Advanced Practice Nursing II,3,,,"A grade of “C” or better in NRSG 610 , NRSG 610A , and NRSG 610B",NRSG 611A and NRSG 611B
NRSG 611A,Women’s Health Clinical Studies for Advanced Practice Nursing III,3,,,"A grade of “C” or better in NRSG 610 , NRSG 610A , and NRSG 610B",NRSG 611 and NRSG 611B
NRSG 611B,Women’s Health Clinical Studies for Advanced Practice Nursing IV,3,,,"A grade of “C” or better in NRSG 610 , NRSG 610A , and NRSG 610B",NRSG 611 and NRSG 611A
NRSG 612,Women’s Health Theories for Advanced Practice Nursing III,3,,,"NRSG 611 , NRSG 611A , NRSG 611B",NRSG 612A
NRSG 612A,Women’s Health Clinical Studies for Advanced Practice Nursing V,3,,,"Admission to the graduate nursing program, NRSG 611 , NRSG 611A , and NRSG 611B",NRSG 612
