term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),12,9721,Spring_2026|HM 305|12|9721,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Joe S,Class instruction is: Asynch. Online-No Meet Times.Class offered with CAFF-305-12
Spring_2026,HM,305,HM 305,WHAT HAPPENS IN VEGAS,3,GE: 2UD/5UD (UDB),13,10613,Spring_2026|HM 305|13|10613,FALSE,\N,,LEC,MW,2-3:15PM,,VEC-115,Kozak H,Class instruction is: Face to Face - On Campus.Class offered with CAFF-305-13
Spring_2026,HM,370,HM 370,EXPLORING SUSTAINABLE FOOD SYS,3,GE: 4UD (UDD); GWAR: WI,01,5639,Spring_2026|HM 370|01|5639,FALSE,\N,307,SEM,W,9-10:15AM,,FCS-106,Gustin L,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HM,370,HM 370,EXPLORING SUSTAINABLE FOOD SYS,3,GE: 4UD (UDD); GWAR: WI,01,\N,Spring_2026|HM 370|01|NOCLASS|a5de3aa7d7a94b47,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,HM,370,HM 370,EXPLORING SUSTAINABLE FOOD SYS,3,GE: 4UD (UDD); GWAR: WI,02,7387,Spring_2026|HM 370|02|7387,FALSE,\N,,SEM,W,2-3:15PM,,FCS-106,Gustin L,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HM,370,HM 370,EXPLORING SUSTAINABLE FOOD SYS,3,GE: 4UD (UDD); GWAR: WI,02,\N,Spring_2026|HM 370|02|NOCLASS|187c8d7cc06b8c1c,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,HM,371,HM 371,HUMAN RESOURCES HOSPTALITY MGT,3,,01,5253,Spring_2026|HM 371|01|5253,FALSE,\N,310,LEC,F,11-12:50PM,available,FCS-122,Jones J,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HM,371,HM 371,HUMAN RESOURCES HOSPTALITY MGT,3,,01,\N,Spring_2026|HM 371|01|NOCLASS|5f7f541498502494,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,HM,373,HM 373,HOTEL/REST INFORMATION TECH,3,,01,5255,Spring_2026|HM 373|01|5255,FALSE,\N,310,LEC,Tu,7-9:45PM,available,FCS-120,Moon G,Class instruction is: Face to Face - On Campus.
Spring_2026,HM,374,HM 374,MEETING PLANNING IN HOTEL/REST,3,,01,5256,Spring_2026|HM 374|01|5256,FALSE,\N,"1,310",LEC,W,6:30-9:15PM,available,FCS-136,Amster J,Class instruction is: Face to Face - On Campus.
Spring_2026,HM,375,HM 375,GLOBAL HOSPITALITY MANAGEMENT,3,GE: 4UD (UDD),01,6690,Spring_2026|HM 375|01|6690,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Yeh R,Class instruction is: Asynch. Online-No Meet Times.5 seats are reserved for Spring 2026 transfer HM students. Reserved seating will end on 12/20/2025
Spring_2026,HM,375,HM 375,GLOBAL HOSPITALITY MANAGEMENT,3,GE: 4UD (UDD),02,6691,Spring_2026|HM 375|02|6691,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Yeh R,Class instruction is: Asynch. Online-No Meet Times.6 seats are reserved for Spring 2026 transfer HM students. Reserved seating will end on 12/20/2025
Spring_2026,HM,376,HM 376,HOSP MKTG AND SRVC MGMT,3,,01,5257,Spring_2026|HM 376|01|5257,FALSE,\N,"1,305",LEC,NA,NA,available,ONLINE-ONLY,Yeh R,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,HM,379,HM 379,PROF INTEGRTN INTO HOSP MGMT,2,,01,5258,Spring_2026|HM 379|01|5258,FALSE,\N,"10,15,27,141,307",SEM,F,9-10:50AM,available,FCS-122,Gustin L,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HM,379,HM 379,PROF INTEGRTN INTO HOSP MGMT,2,,01,\N,Spring_2026|HM 379|01|NOCLASS|734ebc33f7f90c11,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,HM,472,HM 472,ADVANCED HOTEL ADMINISTRATION,3,,01,5259,Spring_2026|HM 472|01|5259,FALSE,\N,310,LEC,Th,4-6:45PM,available,FCS-106,Moon G,Class instruction is: Face to Face - On Campus.
Spring_2026,HM,473,HM 473,BEVERAGE MANAGEMENT,3,,01,5260,Spring_2026|HM 473|01|5260,FALSE,\N,310,SEM,Tu,9:30-12:15PM,available,FCS-123,Garcia N,Class instruction is: Face to Face - On Campus.
Spring_2026,HM,475,HM 475,MANAGING EVENTS IN HOSPITALITY,3,,03,7932,Spring_2026|HM 475|03|7932,FALSE,\N,307,LEC,M,9-10:50AM,available,FCS-106,Martinez S,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,HM,475,HM 475,MANAGING EVENTS IN HOSPITALITY,3,,03,\N,Spring_2026|HM 475|03|NOCLASS|317557bec4a53d19,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Martinez S,additional meeting detail
Spring_2026,HM,475,HM 475,MANAGING EVENTS IN HOSPITALITY,3,,04,7933,Spring_2026|HM 475|04|7933,FALSE,\N,307,LAB,M,11-11:50AM,available,FCS-106,Martinez S,Class instruction is: Hybrid(Face to Face & Async).
