term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",30,\N,Spring_2026|NUTR 132|30|NOCLASS|9c45641996106463,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Jebo K,additional meeting detail
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",31,10777,Spring_2026|NUTR 132|31|10777,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Jebo K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",32,10778,Spring_2026|NUTR 132|32|10778,FALSE,\N,,LEC,NA,NA,,ONLINE-ONLY,Jebo K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",33,10923,Spring_2026|NUTR 132|33|10923,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Lyons M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",34,11144,Spring_2026|NUTR 132|34|11144,FALSE,\N,34,LEC,TuTh,8-9:15AM,,FCS-123,Devine W,Honors SectionClass instruction is: Face to Face - On Campus.
Spring_2026,NUTR,132,NUTR 132,INTRODUCTORY NUTRITION,3,"GE: 5B-NL (B2), E",36,12265,Spring_2026|NUTR 132|36|12265,FALSE,\N,310,LEC,TuTh,12:30-1:45PM,,EN2-105,Devine W,Class instruction is: Face to Face - On Campus.
Spring_2026,NUTR,234,NUTR 234,ORIENTATION NUTRITION,3,,03,12748,Spring_2026|NUTR 234|03|12748,FALSE,\N,309,SEM,W,12-1:45PM,available,ONLINE-ONLY,Blaine R,Class instruction is: Online - Mixed Meet Times.
Spring_2026,NUTR,234,NUTR 234,ORIENTATION NUTRITION,3,,03,\N,Spring_2026|NUTR 234|03|NOCLASS|468127b519a17cc4,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Blaine R,additional meeting detail
Spring_2026,NUTR,331,NUTR 331,NUTRITION THROUGH LIFE CYCLE,3,,01,3712,Spring_2026|NUTR 331|01|3712,FALSE,\N,,LEC,TuTh,12:30-1:45PM,available,FCS-122,Okpara N,Class instruction is: Face to Face - On Campus.4 seats reserved for Spring 2026 transfer Nutrition students. Reserved seating will end on 12/20/2025
Spring_2026,NUTR,336,NUTR 336,CULTURAL FOODS,3,,03,9707,Spring_2026|NUTR 336|03|9707,FALSE,\N,307,LEC,Tu,11-12:15PM,,SPA-108,Frank G,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,NUTR,336,NUTR 336,CULTURAL FOODS,3,,03,\N,Spring_2026|NUTR 336|03|NOCLASS|fcfeaebd6378420a,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Frank G,additional meeting detail
Spring_2026,NUTR,337,NUTR 337,INTRO NUTRITION RESEARCH METHO,3,,01,5962,Spring_2026|NUTR 337|01|5962,FALSE,\N,307,LEC,W,9-10:15AM,,FCS-122,Hill M,Class instruction is: Hybrid(Face to Face & Async).18 seats are reserved for Spring 2026 graduating NUTR seniors. Reserved seating will end on 11/30/2025
Spring_2026,NUTR,337,NUTR 337,INTRO NUTRITION RESEARCH METHO,3,,01,\N,Spring_2026|NUTR 337|01|NOCLASS|28475547e9539d77,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,NUTR,337,NUTR 337,INTRO NUTRITION RESEARCH METHO,3,,02,5963,Spring_2026|NUTR 337|02|5963,FALSE,\N,307,ACT,W,10:30-11:45AM,,FCS-122,Hill M,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,NUTR,337,NUTR 337,INTRO NUTRITION RESEARCH METHO,3,,02,\N,Spring_2026|NUTR 337|02|NOCLASS|a13cfa421e8a1796,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,NUTR,436A,NUTR 436A,ADVANCED NUTRITION I,3,,03,12738,Spring_2026|NUTR 436A|03|12738,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Christie M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,NUTR,436B,NUTR 436B,ADVANCED NUTRITION II,3,GE: 2UD/5UD (UDB),03,12749,Spring_2026|NUTR 436B|03|12749,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Moore D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,NUTR,439,NUTR 439,NUTRITION & AGING,3,,01,4599,Spring_2026|NUTR 439|01|4599,FALSE,\N,307,LEC,M,6-7:15PM,,FCS-136,Frank G,Class instruction is: Hybrid(Face to Face & Async).Class offered with GERN-439-01
