term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,KIN,467,KIN 467,ADV TOPICS FITNESS & WELLNESS,3,,01,3220,Spring_2026|KIN 467|01|3220,FALSE,\N,"1,21,15,27",SEM,Tu,1-3:45PM,,KIN-084,Walters K,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,468,KIN 468,NUTRITION EXERCISE PERFORMANCE,3,,01,6336,Spring_2026|KIN 468|01|6336,FALSE,\N,305,LEC,NA,NA,available,ONLINE-ONLY,Alencar M,Class instruction is: Asynch. Online-No Meet Times.Class offered with NUTR-468-01
Spring_2026,KIN,469,KIN 469,FITNESS MANAGEMENT,3,,02,11171,Spring_2026|KIN 469|02|11171,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Donlin A,Class meets from 01/20/26 - 04/14/26.Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,472,KIN 472,APPLIED SPORT PSYCHOLOGY,3,,01,3360,Spring_2026|KIN 472|01|3360,FALSE,\N,,LEC,MW,11-12:15PM,,KIN-051A,Madrigal L,Class instruction is: Face to Face - On Campus.All seats are reserved for Spring 2026 KIN SPL graduating Seniors. Reserved seating will end on 11/14/25
Spring_2026,KIN,475,KIN 475,PSYCHOLOGY OF COACHING,3,,03,5629,Spring_2026|KIN 475|03|5629,FALSE,\N,"1,15,21,27",SEM,TuTh,2-3:15PM,,KIN-051A,Vargas T,Class instruction is: Face to Face - On Campus.All seats are reserved for Spring 2026 KIN SPL graduating Seniors. Reserved seating will end on 11/14/25
Spring_2026,KIN,476,KIN 476,PHYSICAL EDUC ELEM TEACHERS,3,,11,6598,Spring_2026|KIN 476|11|6598,FALSE,\N,"310,7,27",SEM,M,1-2:50PM,available,KIN-051B,Williams N,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,476,KIN 476,PHYSICAL EDUC ELEM TEACHERS,3,,12,6599,Spring_2026|KIN 476|12|6599,FALSE,\N,"310,7",ACT,M,3-4:50PM,available,KIN-001,Williams N,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,478,KIN 478,PSYCH ASPECTS EXERCISE FITNESS,3,,01,7981,Spring_2026|KIN 478|01|7981,FALSE,\N,307,SEM,Th,11-12:15PM,,KIN-051A,Watkins D,Class instruction is: Hybrid(Face to Face & Async).All seats are reserved for Spring 2026 KIN SPL graduating Seniors. Reserved seating will end on 11/14/25
Spring_2026,KIN,478,KIN 478,PSYCH ASPECTS EXERCISE FITNESS,3,,01,\N,Spring_2026|KIN 478|01|NOCLASS|93b5ea150c47f28c,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,KIN,478,KIN 478,PSYCH ASPECTS EXERCISE FITNESS,3,,02,10834,Spring_2026|KIN 478|02|10834,FALSE,\N,307,SEM,Th,3:30-4:45PM,,KIN-051A,Watkins D,Class instruction is: Hybrid(Face to Face & Async).All seats are reserved for Spring 2026 KIN SPL graduating Seniors. Reserved seating will end on 11/14/25
