term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CRJU,302,CRJU 302,POLICING,3,,05,10109,Spring_2026|CRJU 302|05|10109,FALSE,\N,,LEC,M,7-9:45PM,available,ET-107,Frantz J,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,302,CRJU 302,POLICING,3,,06,10117,Spring_2026|CRJU 302|06|10117,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,LeBaron P,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,303,CRJU 303,CORRECTIONS THEORY POLICY PRAC,3,,01,2601,Spring_2026|CRJU 303|01|2601,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Ireland C,Class instruction is: Asynch. Online-No Meet Times.QM Certified
Spring_2026,CRJU,303,CRJU 303,CORRECTIONS THEORY POLICY PRAC,3,,02,6032,Spring_2026|CRJU 303|02|6032,FALSE,\N,307,LEC,M,2-3:15PM,,HHS1-204,Chavez E,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CRJU,303,CRJU 303,CORRECTIONS THEORY POLICY PRAC,3,,02,\N,Spring_2026|CRJU 303|02|NOCLASS|de038b3a021b0965,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CRJU,303,CRJU 303,CORRECTIONS THEORY POLICY PRAC,3,,04,6455,Spring_2026|CRJU 303|04|6455,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,HHS1-204,Morgan S,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,303,CRJU 303,CORRECTIONS THEORY POLICY PRAC,3,,05,8081,Spring_2026|CRJU 303|05|8081,FALSE,\N,,LEC,TuTh,2-3:15PM,available,HHS1-204,Morgan S,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,303,CRJU 303,CORRECTIONS THEORY POLICY PRAC,3,,06,10165,Spring_2026|CRJU 303|06|10165,FALSE,\N,,LEC,TuTh,12:30-1:45PM,,HSD-113,Lopez A,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,01,2980,Spring_2026|CRJU 304|01|2980,FALSE,\N,,SEM,MW,8-9:15AM,,HSD-119,Schug R,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,02,2981,Spring_2026|CRJU 304|02|2981,FALSE,\N,,SEM,TuTh,9:30-10:45AM,,HSD-113,Renner M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,03,5732,Spring_2026|CRJU 304|03|5732,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Tolbert T,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,04,7424,Spring_2026|CRJU 304|04|7424,FALSE,\N,,SEM,TuTh,2-3:15PM,,HSD-119,Diaz M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,05,7901,Spring_2026|CRJU 304|05|7901,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Diaz M,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,06,7915,Spring_2026|CRJU 304|06|7915,FALSE,\N,,SEM,TuTh,11-12:15PM,,HSD-119,Renner M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,07,8459,Spring_2026|CRJU 304|07|8459,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Martin K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,08,8458,Spring_2026|CRJU 304|08|8458,FALSE,\N,,SEM,MW,9:30-10:45AM,,HSD-119,Barno M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,09,10099,Spring_2026|CRJU 304|09|10099,FALSE,\N,,SEM,TuTh,8-9:15AM,,HHS1-204,Barno M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,10,10379,Spring_2026|CRJU 304|10|10379,FALSE,\N,,SEM,MW,12:30-1:45PM,,HSD-119,Renner M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,11,10560,Spring_2026|CRJU 304|11|10560,FALSE,\N,,SEM,MW,12:30-1:45PM,,HHS1-105,Barno M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,304,CRJU 304,CRIMINOLOGICAL THEORY,3,GWAR: WI,13,12430,Spring_2026|CRJU 304|13|12430,FALSE,\N,305,SEM,NA,NA,,ONLINE-ONLY,Mendie D,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,320,CRJU 320,C J RESEARCH METHODS,3,,01,2603,Spring_2026|CRJU 320|01|2603,FALSE,\N,,LEC,TuTh,8-9:15AM,,HSD-113,Van Brakle M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,320,CRJU 320,C J RESEARCH METHODS,3,,02,2977,Spring_2026|CRJU 320|02|2977,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Florek J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,320,CRJU 320,C J RESEARCH METHODS,3,,03,5774,Spring_2026|CRJU 320|03|5774,FALSE,\N,307,LEC,W,2-3:15PM,,VEC-202,Punla-Martinez C,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CRJU,320,CRJU 320,C J RESEARCH METHODS,3,,03,\N,Spring_2026|CRJU 320|03|NOCLASS|59e7f908187fecc5,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Vickovic S,additional meeting detail
Spring_2026,CRJU,320,CRJU 320,C J RESEARCH METHODS,3,,04,6889,Spring_2026|CRJU 320|04|6889,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Vickovic S,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,325,CRJU 325,STATISTICS FOR CRIM JUSTICE,4,GE: 2UD/5UD (UDB),01,2597,Spring_2026|CRJU 325|01|2597,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Nash B,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,325,CRJU 325,STATISTICS FOR CRIM JUSTICE,4,GE: 2UD/5UD (UDB),02,2598,Spring_2026|CRJU 325|02|2598,FALSE,\N,,LEC,MW,9-10:50AM,,ET-109,Fischer R,Class instruction is: Face to Face - On Campus.
