course_code_full,course_title,units,course_info,class_notes_ref,prereq_course,coreq_courses
MAE 585,Spacecraft Attitude Determination and Control,3,,,MAE 501 with a grade of “C” or better,
MAE 590,Selected Topics in Mechanical and Aerospace Engineering,,,,"MAE 501 , MAE 502 with a grade of “C” or better",
MAE 631,Thermal Radiation,3,,,"Open to Mechanical Engineering MS, Aerospace Engineering MS, Chemical Engineering MS, or Engineering MS students only",
MAE 635,Computational Fluid Dynamics II,3,,,MAE 535 with a grade of “C” or better,
MAE 637,Advanced Fluid Dynamics II,3,,,"MAE 501 , MAE 537 all with a grade of “C” or better",
MAE 690,Selected Topics in Mechanical and Aerospace Engineering,,,,"MAE 501 , MAE 502 all with a grade of “C” or better, and other prerequisites as related to the topics offered",
MAE 691,Directed Studies,,,,Graduate Standing in a Mechanical and Aerospace Engineering graduate program,
MAE 697,Directed Research,,,,"Open to Mechanical Engineering MS, Aerospace Engineering MS and Engineering MS Students only",
MAE 698,Thesis,,,,Graduate standing in a Mechanical and Aerospace Engineering graduate program and Advancement to Candidacy for the degree,
MAE 795,Advanced Directed Studies,4,,,Master of Science degree or equivalent and formally admitted to the Ph,
MAE 797,Advanced Directed Research,4,,,Master of Science degree or equivalent and formally admitted to the Ph,
MAE 798,Doctoral Dissertation,,,,Enrollment is limited to students formally admitted to the Ph,
